Unnamed: 0,car_name,car_prices_in_rupee,kms_driven,fuel_type,transmission,ownership,manufacture,engine,Seats,zscore
131,Hyundai Verna SX Opt Diesel,14.51,35000.0,0,1,1,2021.0,1493.0,5.0,1.906564570881749
132,Maruti Wagon R VXI Optional,3.0,80000.0,1,1,2,2016.0,998.0,5.0,-0.7039027425503261
133,Hyundai Grand i10 Magna,4.6,60000.0,1,1,1,2016.0,1197.0,5.0,-0.3410228379898292
134,Honda Amaze VX CVT,9.15,10000.0,1,0,1,2022.0,1199.0,5.0,0.6909168906040841
135,Maruti Ignis Zeta AMT,5.5,59385.0,1,0,1,2019.0,1197.0,5.0,-0.1369028916745496
136,Jaguar XF 3.0 Litre S Premium Luxury,17.0,51000.0,0,0,2,2012.0,2993.0,5.0,2.4712964223540217
137,Mahindra XUV500 AT W6 1.99 mHawk,9.9,74000.0,0,0,1,2017.0,1997.0,7.0,0.861016845866817
138,Tata Nexon 1.2 Revotron XMA,8.51,29000.0,1,0,1,2020.0,1198.0,5.0,0.5457649287798851
140,Hyundai Grand i10 1.2 Kappa Sportz Option AT,5.5,40000.0,1,0,3,2019.0,1197.0,5.0,-0.1369028916745496
141,Hyundai Verna CRDi 1.6 SX,9.51,58000.0,0,1,1,2018.0,1582.0,5.0,0.7725648691301957
142,Toyota Innova Crysta 2.8 ZX AT BSIV,19.9,75000.0,0,0,2,2019.0,2755.0,7.0,3.129016249369922
144,Ford Aspire 1.2 Ti-VCT Titanium,5.5,23400.0,1,1,1,2017.0,1196.0,5.0,-0.1369028916745496
145,Ford Aspire 1.2 Ti-VCT Ambiente,3.9,59300.0,1,1,1,2017.0,1196.0,5.0,-0.4997827962350465
146,Hyundai Creta 1.4 CRDi S,8.9,72000.0,0,1,1,2016.0,1396.0,5.0,0.6342169055165064
147,Maruti Swift Dzire LDI,4.51,67000.0,0,1,1,2017.0,1248.0,5.0,-0.3614348326213571
148,Honda Amaze S CVT i-VTEC,7.25,33500.0,1,0,1,2018.0,1199.0,5.0,0.2599970039384939
